Quel	DETrel	quel

Modred	NOMpro	Mordred
aveit	VERcjg	avoir
dous	DETcar	deux
fiz	NOMcom	fils
bien	ADVgen	bien
granz	ADJqua	grant
,	PONfbl	,
Bien	ADVgen	bien
orguillus	ADJqua	orgueilleux
e	CONcoo	et
bien	ADVgen	bien
preisanz	VERppa	priser
;	PONfbl	;
Cil	PROdem	cel
virent	VERcjg	voir
tuz	DETind	tous
les	DETdef	le
baruns	NOMcom	baron
morz	VERppe	morir
,	PONfbl	,
Virent	VERcjg	voir
peri	VERppe	périr
lé	DETdef	le
granz	ADJqua	grant
esforz	NOMcom	effort
,	PONfbl	,
Virent	VERcjg	voir
d'	PRE	de
Arthur	NOMpro	Arthur
l'	DETdef	le
esluinement	NOMcom	éloignement
,	PONfbl	,
Virent	VERcjg	voir
lu	DETdef	le
rei	NOMcom	roi
fait	VERppe	faire
novelment	ADVgen	nouvellement
;	PONfbl	;
Les	DETdef	le
Saisnes	NOMpro	Saxon
ki	PROrel	qui
od	PRE	o
Modred	NOMpro	Mordred
erent	VERcjg	être
,	PONfbl	,
Ki	PROrel	qui
de	PRE	de
la	DETdef	le
bataille	NOMcom	bataille
eschaperent	VERcjg	échapper
,	PONfbl	,
Unt	VERcjg	avoir
ensemble	ADVgen	ensemble
od	PRE	o
els	PROper	eux
alïez	VERppe	allier
;	PONfbl	;
Tant	ADVgen	tant
les	PROper	il
unt	VERcjg	avoir
blandiz	VERppe	blandir
e	CONcoo	et
preiez	VERppe	préer
,	PONfbl	,
Retenu	VERppe	retenir
les	PROper	il
unt	VERcjg	avoir
a	PRE	a
soldees	NOMcom	soudee
Si	ADVgen	si
lur	PROper	leur
unt	VERcjg	avoir
granz	ADJqua	grant
terres	NOMcom	terre
dunees	VERppe	donner
.	PONfrt	.

Le	DETdef	le
mielz	NOMcom	miel
del	PRE.DETdef	de
païs	NOMcom	päis
unt	VERcjg	avoir
saisi	VERppe	saisir
.	PONfrt	.

L'	DETdef	le
uns	PROind	un
d'	PRE	de
els	PROper	eux
en	PRE	en
Lundres	NOMpro	Londres
s'	PROper	soi
enbati	VERcjg	embattre
,	PONfbl	,
Li	DETdef	le
altres	PROind	autre
volt	VERcjg	vouloir
tenir	VERinf	tenir
Wincestre	NOMpro	Winchester
;	PONfbl	;
Issi	ADVgen	issi
quiderent	VERcjg	cuider
seignur	NOMcom	seigneur
estre	VERinf	estre
;	PONfbl	;
Mes	CONcoo	mais
Costentin	NOMpro	Constantin
les	PROper	il
vint	VERcjg	venir
siewant	VERppa	suivre
,	PONfbl	,
Ki	PROrel	qui
d'	PRE	de
els	PROper	eux
veintre	VERinf	vaincre
se	PROper	soi
mist	VERcjg	mettre
en	PRE	en
grant	ADJqua	grant
.	PONfrt	.

L'	DETdef	le
un	ADJind	un
frere	NOMcom	frère
en	PRE	en
Wincestre	NOMpro	Winchester
trova	VERcjg	trover
,	PONfbl	,
En	PRE	en
un	DETndf	un
mustier	NOMcom	moutier
le	PROper	il
decola	VERcjg	décoller
Devant	PRE	devant
l'	DETdef	le
autiel	NOMcom	autel
saint	ADJqua	saint
Amphibal	NOMpro	Amphibal
;	PONfbl	;
Gardez	VERcjg	garder
s'	CONsub	se
il	PROper	il
fist	VERcjg	faire
pechié	NOMcom	péché
e	CONcoo	et
mal	NOMcom	mal
.	PONfrt	.

Puis	ADVgen	puis
ad	VERcjg	avoir
l'	DETdef	le
autre	ADJind	autre
frere	NOMcom	frère
siewi	VERppe	suivre
;	PONfbl	;
Cil	PROdem	cel
sot	VERcjg	savoir
sa	DETpos	son
venue	NOMcom	venue
e	CONcoo	et
oï	VERcjg	öir
,	PONfbl	,
En	PRE	en
un	DETndf	un
mustier	NOMcom	moutier
s'	PROper	soi
ala	VERcjg	aller
mucier	VERinf	musser
,	PONfbl	,
Mes	CONcoo	mais
ne	ADVneg	ne
li	PROper	il
pot	VERcjg	pöoir
aver	VERinf	avoir
mestier	NOMcom	mestier
;	PONfbl	;
La	ADVgen	là
le	PROper	il
fist	VERcjg	faire
li	DETdef	le
reis	NOMcom	roi
decoler	VERinf	décoller
,	PONfbl	,
Le	DETdef	le
chief	NOMcom	chief
li	PROper	il
fist	VERcjg	faire
del	PRE.DETdef	de
buc	NOMcom	bu
voler	VERinf	voler
.	PONfrt	.

Treis	DETcar	trois
anz	NOMcom	an
regna	VERcjg	régner
,	PONfbl	,
puis	ADVgen	puis
fud	VERcjg	être
ocis	VERppe	occire
,	PONfbl	,
Ço	PROdem	ce
fud	VERcjg	être
grant	ADJqua	grant
doel	NOMcom	deuil
a	PRE	a
ses	DETpos	son
amis	NOMcom	ami
.	PONfrt	.

A	PRE	a
Estanhenges	NOMpro	Estanhenges
fud	VERcjg	être
portez	VERppe	porter
E	CONcoo	et
a	PRE	a
grant	ADJqua	grant
enur	NOMcom	honneur
enterrez	VERppe	enterrer
.	PONfrt	.

Cunan	NOMpro	Conan
,	PONfbl	,
sis	DETpos	son
niés	NOMcom	nevo
,	PONfbl	,
enprés	ADVgen	emprès
regna	VERcjg	régner
;	PONfbl	;
Orguillus	ADJqua	orgueilleux
fud	VERcjg	être
,	PONfbl	,
mult	ADVgen	moult
se	PROper	soi
preisa	VERcjg	priser
,	PONfbl	,
Pais	NOMcom	paix
ne	ADVneg	ne
sot	VERcjg	savoir
faire	VERinf	faire
ne	CONcoo	ne
garder	VERinf	garder
,	PONfbl	,
Ses	DETpos	son
genz	NOMcom	gent
laissot	VERcjg	laisser
entremedler	VERinf	entremêler
.	PONfrt	.

Par	PRE	par
les	DETdef	le
citez	NOMcom	cité
s'	PROper	soi
entremedloent	VERcjg	entremêler
E	CONcoo	et
li	DETdef	le
barun	NOMcom	baron
se	PROper	soi
guerrioent	VERcjg	guerroyer
;	PONfbl	;
Entre	PRE	entre
lui	PROper	il
meïsme	ADJind	mëisme
e	CONcoo	et
sa	DETpos	son
gent	NOMcom	gent
Aveit	VERcjg	avoir
grant	ADJqua	grant
discorde	NOMcom	discorde
suvent	ADVgen	souvent
.	PONfrt	.

Sun	DETpos	son
uncle	NOMcom	oncle
guereia	VERcjg	guerroyer
e	CONcoo	et
prist	VERcjg	prendre
E	CONcoo	et
les	DETdef	le
dous	ADJcar	deux
fiz	NOMcom	fils
sun	DETpos	son
uncle	NOMcom	oncle
ocist	VERcjg	ocire
Pur	PRE	pour
ço	PROdem	ce
qu'	CONsub	que
il	PROper	il
esteient	VERcjg	être
dreit	ADJqua	droit
eir	NOMcom	hoir
Si	ADVgen	si
deüssent	VERcjg	devoir
lu	DETdef	le
regne	NOMcom	règne
aveir	VERinf	avoir
.	PONfrt	.

Quatre	DETcar	quatre
anz	NOMcom	an
fud	VERcjg	être
reis	NOMcom	roi
e	CONcoo	et
petit	ADJqua	petit
plus	ADVgen	plus
,	PONfbl	,
Enprés	ADVgen	emprès
regna	VERcjg	régner
Vortyporus	NOMpro	Vortiporus
.	PONfrt	.

En	PRE	en
sun	DETpos	son
tens	NOMcom	temps
Saidne	NOMpro	Saxon
revelerent	VERcjg	reveler
,	PONfbl	,
La	DETdef	le
terre	NOMcom	terre
tute	ADJind	tout
aver	VERinf	avoir
quiderent	VERcjg	cuider
;	PONfbl	;
As	PRE.DETdef	a
genz	NOMcom	gent
firent	VERcjg	faire
mainte	DETind	maint
moleste	NOMcom	moleste
,	PONfbl	,
Deus	NOMpro	Dieu
cunfunde	VERcjg	confondre
tute	DETind	tout
lur	DETpos	leur
geste	NOMcom	geste
!	PONfrt	!

Bien	ADVgen	bien
lur	PROper	leur
estut	VERcjg	estovoir
al	PRE.DETdef	à.le
cumençail	NOMcom	commençaille
,	PONfbl	,
Al	PRE.DETdef	à.le
rei	NOMcom	roi
firent	VERcjg	faire
maint	DETind	maint
grant	ADJqua	grant
travail	NOMcom	travail
;	PONfbl	;
A	PRE	a
la	DETdef	le
parfin	NOMcom	parfin
s'	PROper	soi
esvertua	VERcjg	évertuer
,	PONfbl	,
Soldeiers	NOMcom	soudoyer
prist	VERcjg	prendre
,	PONfbl	,
genz	NOMcom	gent
aüna	VERcjg	aüner
,	PONfbl	,
Ne	ADVneg	ne
laissa	VERcjg	laisser
a	PRE	a
nul	PROind	nul
d'	PRE	de
els	PROper	eux
manage	NOMcom	ménage
Dunt	PROrel	dont
il	PROper	il
n'	ADVneg	ne
en	PROadv	en
eüst	VERcjg	avoir
bon	ADJqua	bon
hostage	NOMcom	otage
.	PONfrt	.

Puis	ADVgen	puis
tint	VERcjg	tenir
pais	NOMcom	paix
jesqu'a	VERcjg	juschier
sun	DETpos	son
decés	NOMcom	décès
.	PONfrt	.

Malgo	NOMpro	Malgo
,	PONfbl	,
sis	DETpos	son
niés	NOMcom	nevo
,	PONfbl	,
fud	VERcjg	être
reis	NOMcom	roi
aprés	ADVgen	après
,	PONfbl	,
Ki	PROrel	qui
ama	VERcjg	amer
mult	ADVgen	moult
chevalerie	NOMcom	chevalerie
E	CONcoo	et
mult	ADVgen	moult
l'	PROper	il
usa	VERcjg	user
tute	DETind	tout
sa	DETpos	son
vie	NOMcom	vie
.	PONfrt	.

Les	DETdef	le
idles	NOMcom	île
envirun	ADVgen	environ
cunquist	VERcjg	conquérir
E	CONcoo	et
les	DETdef	le
humages	NOMcom	hommage
des	PRE.DETdef	de.le
reis	NOMcom	roi
prist	VERcjg	prendre
;	PONfbl	;
De	PRE	de
bealté	NOMcom	beauté
e	CONcoo	et
de	PRE	de
bones	ADJqua	bon
murs	NOMcom	mur
Surmunta	VERcjg	surmonter
tuz	DETind	tous
ses	DETpos	son
anceisurs	NOMcom	ancessor
.	PONfrt	.

Forment	ADVgen	fortement
fud	VERcjg	être
bels	ADJqua	beau
,	PONfbl	,
forment	ADVgen	fortement
fud	VERcjg	être
genz	ADJqua	gent
,	PONfbl	,
Forment	ADVgen	fortement
ama	VERcjg	amer
tuz	DETind	tous
ses	DETpos	son
parenz	NOMcom	parent
,	PONfbl	,
Larges	ADJqua	large
fud	VERcjg	être
mult	ADVgen	moult
a	PRE	a
desmesure	NOMcom	desmesure
,	PONfbl	,
Unques	ADVgen	onques
d'	PRE	de
aveir	NOMcom	avoir
tenir	VERinf	tenir
n'	ADVneg	ne
ot	VERcjg	avoir
cure	NOMcom	cure
.	PONfrt	.

Malgo	NOMpro	Malgo
se	PROper	soi
tint	VERcjg	tenir
a	PRE	a
escharni	VERppe	escharnir
,	PONfbl	,
A	PRE	a
deshonuré	VERppe	déshonorer
,	PONfbl	,
a	PRE	a
huni	VERppe	honnir
,	PONfbl	,
Que	CONsub	que
il	PROper	il
le	DETdef	le
jor	NOMcom	jor
n'	ADVneg	ne
ot	VERcjg	avoir
tant	ADVgen	tant
duné	VERppe	donner
Dunt	PROrel	dont
qui	PROrel	que
que	PROrel	que
seit	VERcjg	être
li	PROper	il
seüst	VERcjg	savoir
gré	NOMcom	gré
.	PONfrt	.

Une	DETndf	un
sule	ADJqua	seul
teche	NOMcom	tache
aveit	VERcjg	avoir
male	ADJqua	mal
Dunt	PROrel	dont
li	DETdef	le
Sodomite	NOMpro	Sodomite
sunt	VERcjg	être
pale	ADJqua	pale
;	PONfbl	;
Ne	ADVneg	ne
sout	VERcjg	savoir
l'	DETdef	le
em	PROind	on
en	PRE	en
lui	PROper	il
altre	DETind	autre
vice	NOMcom	vice
Ne	CONcoo	ne
ne	ADVneg	ne
feseit	VERcjg	faire
altre	DETind	autre
malice	NOMcom	malice
.	PONfrt	.

Cariz	NOMpro	Cariz
fud	VERcjg	être
puis	ADVgen	puis
reis	NOMcom	roi
de	PRE	de
la	DETdef	le
terre	NOMcom	terre
,	PONfbl	,
Mes	CONcoo	mais
tute	PROind	tout
la	PROper	il
perdi	VERcjg	perdre
par	PRE	par
guerre	NOMcom	guerre
;	PONfbl	;
Dolenz	ADJqua	dolent
fud	VERcjg	être
e	CONcoo	et
maleürus	ADJqua	malheureux
E	CONcoo	et
a	PRE	a
tute	DETind	tout
gent	NOMcom	gent
haïnus	ADJqua	haineux
.	PONfrt	.

En	PRE	en
sun	DETpos	son
tens	NOMcom	temps
vint	VERcjg	venir
la	DETdef	le
grant	ADJqua	grant
surverse	NOMcom	sorverse
De	PRE	de
paens	NOMcom	païen
e	CONcoo	et
de	PRE	de
gent	NOMcom	gent
adverse	ADJqua	adverse
Que	PROrel	que
Gurmunt	NOMpro	Gormont
amena	VERcjg	amener
par	PRE	par
mer	NOMcom	mer
,	PONfbl	,
Bien	ADVgen	bien
en	PROadv	en
avez	VERcjg	avoir
oï	VERppe	öir
parler	VERinf	parler
,	PONfbl	,
Ki	PROrel	qui
firent	VERcjg	faire
la	DETdef	le
destructiun	NOMcom	destruction
Dunt	PROrel	dont
Bretaine	NOMpro	Bretagne
perdi	VERcjg	perdre
sun	DETpos	son
nun	NOMcom	nom
.	PONfrt	.

Gurmunz	NOMpro	Gormont
fud	VERcjg	être
riches	ADJqua	riche
e	CONcoo	et
puissanz	ADJqua	poissant
E	CONcoo	et
de	PRE	de
sun	DETpos	son
cors	NOMcom	corps
forment	ADVgen	fortement
vaillanz	ADJqua	valoir
;	PONfbl	;
Hardiz	ADJqua	hardi
fud	VERcjg	être
,	PONfbl	,
de	PRE	de
noble	ADJqua	noble
curage	NOMcom	courage
,	PONfbl	,
E	CONcoo	et
mult	ADVgen	moult
esteit	VERcjg	être
de	PRE	de
grant	ADJqua	grant
parage	NOMcom	parage
;	PONfbl	;
D'	PRE	de
Alfrike	NOMpro	Afrique
fud	VERcjg	être
,	PONfbl	,
fiz	NOMcom	fils
a	PRE	a
un	DETndf	un
rei	NOMcom	roi
Ki	PROrel	qui
esteit	VERcjg	être
de	PRE	de
paeine	ADJqua	païen
lei	NOMcom	loi
.	PONfrt	.

Le	DETdef	le
regne	NOMcom	règne
emprés	PRE	emprès
sun	DETpos	son
pere	NOMcom	père
eüst	VERcjg	avoir
E	CONcoo	et
reis	NOMcom	roi
en	PROadv	en
fust	VERcjg	estre
se	CONsub	se
li	PROper	il
pleüst	VERcjg	plaire
,	PONfbl	,
Mes	CONcoo	mais
il	PROper	il
ne	ADVneg	ne
volt	VERcjg	vouloir
ne	CONcoo	ne
ne	ADVneg	ne
deigna	VERcjg	daigner
,	PONfbl	,
A	PRE	a
un	DETndf	un
sun	ADJpos	son
frere	NOMcom	frère
le	PROper	il
duna	VERcjg	donner
,	PONfbl	,
A	PRE	a
un	DETndf	un
suen	ADJpos	son
frere	NOMcom	frère
juvenur	ADJqua	jovenor
Otria	VERcjg	octroyer
sa	DETpos	son
terre	NOMcom	terre
e	CONcoo	et
s'	DETpos	son
onur	NOMcom	honneur
,	PONfbl	,
Si	ADVgen	si
dist	VERcjg	dire
que	CONsub	que
ja	ADVgen	ja
reis	NOMcom	roi
ne	ADVneg	ne
serreit	VERcjg	être
Si	CONsub	si
realme	NOMcom	royaume
ne	ADVneg	ne
cunquereit	VERcjg	conquérir
.	PONfrt	.

Par	PRE	par
mer	NOMcom	mer
,	PONfbl	,
ço	PROdem	ce
dist	VERcjg	dire
,	PONfbl	,
irreit	VERcjg	aller
conquerre	VERinf	conquerre
Que	CONsub	que
reis	NOMcom	roi
serreit	VERcjg	être
en	PRE	en
altre	DETind	autre
terre	NOMcom	terre
.	PONfrt	.

De	PRE	de
lui	PROper	il
prophetiza	VERcjg	prophétiser
Merlins	NOMpro	Merlin
Que	CONsub	que
ço	PROdem	ce
serreit	VERcjg	être
uns	DETndf	un
lus	NOMcom	loup
marrins	ADJqua	marin
.	PONfrt	.

Mariniers	NOMcom	marinier
quist	VERcjg	quérir
e	CONcoo	et
estiermans	NOMcom	esturman
E	CONcoo	et
nefs	NOMcom	nef
e	CONcoo	et
barges	NOMcom	barge
e	CONcoo	et
calans	NOMcom	chaland
;	PONfbl	;
Cent	DETcar	cent
e	CONcoo	et
seisante	DETcar	soixante
mil	DETcar	mille
armez	VERppe	armer
Tuz	ADVgen	tout
cuneüz	VERppe	connaître
e	CONcoo	et
tuz	ADVgen	tout
numez	VERppe	nommer
,	PONfbl	,
Estre	PRE	être
estiermans	NOMcom	esturman
e	CONcoo	et
mariniers	NOMcom	marinier
,	PONfbl	,
Estre	PRE	être
servanz	NOMcom	servant
e	CONcoo	et
estre	VERinf	estre
archiers	NOMcom	archier
,	PONfbl	,
Mena	VERcjg	mener
Gurmunt	NOMpro	Gormont
en	PRE	en
sun	DETpos	son
navire	NOMcom	navire
.	PONfrt	.

Ne	ADVneg	ne
sai	VERcjg	savoir
des	PRE.DETdef	de.le
barges	NOMcom	barge
numbre	NOMcom	nombre
dire	VERinf	dire
,	PONfbl	,
Mult	ADVgen	moult
ot	VERcjg	avoir
nefs	NOMcom	nef
e	CONcoo	et
grant	ADJqua	grant
gent	NOMcom	gent
mena	VERcjg	mener
,	PONfbl	,
Mainte	DETind	maint
grant	ADJqua	grant
mer	NOMcom	mer
aviruna	VERcjg	avironner
,	PONfbl	,
Maint	DETind	maint
idle	NOMcom	île
prist	VERcjg	prendre
,	PONfbl	,
maint	DETind	maint
rei	NOMcom	roi
venqui	VERcjg	vaincre
,	PONfbl	,
Mainte	DETind	maint
terre	NOMcom	terre
prist	VERcjg	prendre
e	CONcoo	et
saisi	VERcjg	saisir
.	PONfrt	.

Tant	ADVgen	tant
ala	VERcjg	aller
par	PRE	par
mer	NOMcom	mer
naviant	VERppa	navier
,	PONfbl	,
Reis	NOMcom	roi
venquant	VERppa	vaincre
,	PONfbl	,
terres	NOMcom	terre
cunquerant	VERppa	conquérir
,	PONfbl	,
En	PRE	en
Yrlande	NOMpro	Irlande
vint	VERcjg	venir
salvement	ADVgen	sauvement
,	PONfbl	,
La	DETdef	le
terre	NOMcom	terre
prist	VERcjg	prendre
delivrement	ADVgen	délivrement
.	PONfrt	.

D'	PRE	de
Yrlande	NOMpro	Irlande
se	PROper	soi
fist	VERcjg	faire
rei	NOMcom	roi
clamer	VERinf	clamer
,	PONfbl	,
Puis	ADVgen	puis
volt	VERcjg	vouloir
en	PRE	en
Engleterre	NOMpro	Angleterre
aler	VERinf	aler
.	PONfrt	.

Seidnes	NOMpro	Saxon
aveit	VERcjg	avoir
en	PRE	en
Engleterre	NOMpro	Angleterre
,	PONfbl	,
Ki	PROrel	qui
as	PRE.DETdef	à.le
Bretuns	NOMpro	Breton
feseient	VERcjg	faire
guerre	NOMcom	guerre
;	PONfbl	;
Suvent	ADVgen	souvent
aveient	VERcjg	avoir
chalengié	VERppe	challenger
E	CONcoo	et
pur	PRE	pour
cunquerre	VERinf	conquérir
guerrié	VERppe	guerroyer
Twancastre	NOMpro	Twancastre
en	PRE	en
Lyndesie	NOMpro	Lindsey
e	CONcoo	et
Kent	NOMpro	Kent
Que	PROrel	que
Henguist	NOMpro	Hengist
ot	VERcjg	avoir
premierement	ADVgen	premièrement
,	PONfbl	,
E	CONcoo	et
ço	PROdem	ce
que	PROrel	que
tint	VERcjg	tenir
sis	DETpos	son
fiz	NOMcom	fils
Octa	NOMpro	Octa
,	PONfbl	,
Ki	PROrel	qui
vers	PRE	vers
Escoce	NOMpro	Écosse
cunversa	VERcjg	converser
.	PONfrt	.

Suvent	ADVgen	souvent
aveient	VERcjg	avoir
tut	PROind	tout
eü	VERppe	avoir
,	PONfbl	,
Suvent	ADVgen	souvent
aveient	VERcjg	avoir
tut	PROind	tout
perdu	VERppe	perdre
,	PONfbl	,
Suvent	ADVgen	souvent
orent	VERcjg	avoir
duné	VERppe	donner
hostages	NOMcom	otage
E	CONcoo	et
suvent	ADVgen	souvent
orent	VERcjg	avoir
fait	VERppe	faire
humages	NOMcom	hommage
Que	CONsub	que
des	PRE.DETdef	de.le
Bretuns	NOMpro	Breton
recunuistreient	VERcjg	reconnaître
E	CONcoo	et
pais	NOMcom	paix
e	CONcoo	et
triewes	NOMcom	trêve
lur	PROper	leur
tendreient	VERcjg	tenr
.	PONfrt	.

Quant	CONsub	quand
il	PROper	il
aveient	VERcjg	avoir
tut	PROind	tout
pramis	VERppe	promettre
,	PONfbl	,
Humages	NOMcom	hommage
faiz	VERppe	faire
,	PONfbl	,
hostages	NOMcom	otage
mis	VERppe	metre
,	PONfbl	,
Tant	ADVgen	tant
par	ADVgen	par
esteit	VERcjg	être
lur	DETpos	leur
fei	NOMcom	foi
malveise	ADJqua	mauvais
,	PONfbl	,
Des	ADVgen	des
que	CONsub	que
il	PROper	il
veient	VERcjg	voir
lieu	NOMcom	lieu
e	CONcoo	et
aise	NOMcom	aise
E	CONcoo	et
des	ADVgen	des
que	CONsub	que
alcuns	DETind	aucun
reis	NOMcom	roi
mureit	VERcjg	mourir
U	CONcoo	ou
de	PRE	de
sun	DETpos	son
cors	NOMcom	corps
afiebliseit	VERcjg	affaiblir
,	PONfbl	,
Sempres	ADVgen	sempres
erent	VERcjg	être
a	PRE	a
reveler	VERinf	reveler
E	CONcoo	et
a	PRE	a
tolir	VERinf	tolir
e	CONcoo	et
a	PRE	a
rober	VERinf	rober
.	PONfrt	.

En	PRE	en
Northumberlande	NOMpro	Northumberland
maneient	VERcjg	manoir
;	PONfbl	;
La	ADVgen	là
repeiroent	VERcjg	repairer
,	PONfbl	,
la	ADVgen	là
veneient	VERcjg	venir
.	PONfrt	.

De	PRE	de
Gurmund	NOMpro	Gormont
oïrent	VERcjg	ouïr
parler	VERinf	parler
,	PONfbl	,
Ki	PROrel	qui
tant	ADVgen	tant
esteit	VERcjg	être
puissant	ADJqua	poissant
e	CONcoo	et
ber	ADJqua	ber
;	PONfbl	;
As	PRE.DETdef	a
Bretuns	NOMpro	Breton
pais	NOMcom	paix
e	CONcoo	et
triewes	NOMcom	trêve
pristrent	VERcjg	prendre
,	PONfbl	,
Entretant	ADVgen	entre-temps
a	PRE	a
Gurmund	NOMpro	Gormont
tramistrent	VERcjg	tramettre
;	PONfbl	;
Mult	PROind	moult
li	PROper	il
dunerent	VERcjg	donner
,	PONfbl	,
plus	ADVgen	plus
pramistrent	VERcjg	promettre
,	PONfbl	,
Puis	ADVgen	puis
li	PROper	il
preierent	VERcjg	prier
e	CONcoo	et
requistrent	VERcjg	requérir
Que	CONsub	que
en	PRE	en
Bretaine	NOMpro	Bretagne
a	PRE	a
els	PROper	eux
passast	VERcjg	passer
E	CONcoo	et
la	DETdef	le
terre	NOMcom	terre
lur	PROper	leur
delivrast	VERcjg	délivrer
;	PONfbl	;
Volentiers	ADVgen	volentiers
de	PRE	de
lui	PROper	il
la	PROper	il
tendreient	VERcjg	tenr
E	CONcoo	et
volentiers	ADVgen	volentiers
l'en	PROper	il
servireient	VERcjg	servir
.	PONfrt	.

Treü	NOMcom	treü
chascun	DETind	chascun
an	NOMcom	an
l'en	PROind	loin
durreient	VERcjg	donner
E	CONcoo	et
a	PRE	a
seignur	NOMcom	seigneur
l'en	PROind	loin
cunuistreient	VERcjg	connaître
;	PONfbl	;
Paens	ADJqua	païen
esteit	VERcjg	être
,	PONfbl	,
e	CONcoo	et
il	PROper	il
paen	VERcjg	païer
,	PONfbl	,
E	CONcoo	et
Bretun	NOMpro	Breton
erent	VERcjg	être
cristïen	ADJqua	chrétien
;	PONfbl	;
Bien	ADVgen	bien
se	PROper	soi
deveiententr'aidier	VERinf	devantrendier
E	CONcoo	et
cristïenté	NOMcom	chrétienté
abaissier	VERinf	abaisser
;	PONfbl	;
Si	ADVgen	si
cum	CONsub	comme
il	PROper	il
erent	VERcjg	être
d'	PRE	de
une	DETndf	un
lei	NOMcom	loi
Si	ADVgen	si
deveient	VERcjg	devoir
aver	VERinf	avoir
un	DETndf	un
rei	NOMcom	roi
.	PONfrt	.

Quant	CONsub	quand
Gurmund	NOMpro	Gormont
oï	VERcjg	öir
lur	DETpos	leur
requeste	NOMcom	requête
,	PONfbl	,
Od	PRE	o
sa	DETpos	son
flote	NOMcom	flote
qu'	PROrel	que
il	PROper	il
aveit	VERcjg	avoir
preste	ADJqua	prêt
En	PRE	en
Northumberlande	NOMpro	Northumberland
passa	VERcjg	passer
,	PONfbl	,
A	PRE	a
ces	PROdem	ce
de	PRE	de
Saisuine	NOMpro	Saxe
parla	VERcjg	parler
;	PONfbl	;
Afermé	VERppe	affermer
unt	VERcjg	avoir
lur	DETpos	leur
cuvenance	NOMcom	convenance
Par	PRE	par
hostages	NOMcom	otage
e	CONcoo	et
par	PRE	par
fiance	NOMcom	fïance
,	PONfbl	,
Gurmund	NOMpro	Gormont
,	PONfbl	,
del	PRE.DETdef	de
païs	NOMcom	päis
delivrer	VERinf	delivrer
E	CONcoo	et
as	PRE.DETdef	à.le
Seidnes	NOMpro	Saxon
en	PRE	en
fieu	NOMcom	fief
livrer	VERinf	livrer
,	PONfbl	,
E	CONcoo	et
li	DETdef	le
Seidne	NOMpro	Saxon
,	PONfbl	,
de	PRE	de
fei	NOMcom	foi
porter	VERinf	porter
E	CONcoo	et
de	PRE	de
treü	NOMcom	treü
par	PRE	par
an	NOMcom	an
duner	VERinf	donner
.	PONfrt	.

Dunc	ADVgen	donc
pristrent	VERcjg	prendre
la	DETdef	le
terre	NOMcom	terre
a	PRE	a
destruire	VERinf	détruire
;	PONfbl	;
Deus	NOMpro	Dieu
,	PONfbl	,
quel	DETint	quel
dolur	NOMcom	douleur
e	CONcoo	et
quel	DETint	quel
injuire	NOMcom	injure
De	PRE	de
bone	ADJqua	bon
terre	NOMcom	terre
e	CONcoo	et
de	PRE	de
gentil	ADJqua	gentil
,	PONfbl	,
Que	CONsub	que
turné	VERppe	tourner
est	VERcjg	estre
a	PRE	a
tel	DETind	tel
issil	NOMcom	exil
!	PONfrt	!

Saisne	NOMpro	Saxon
les	DETdef	le
Alfricans	NOMpro	Africain
cunduient	VERcjg	conduire
,	PONfbl	,
Maisuns	NOMcom	maison
ardent	VERcjg	ardre
,	PONfbl	,
viles	NOMcom	ville
destruient	VERcjg	détruire
;	PONfbl	;
Les	DETdef	le
chevaliers	NOMcom	chevalier
e	CONcoo	et
les	DETdef	le
vileins	NOMcom	vilain
,	PONfbl	,
Les	DETdef	le
clers	NOMcom	clerc
,	PONfbl	,
les	DETdef	le
muines	NOMcom	moine
,	PONfbl	,
les	DETdef	le
nuneins	NOMcom	nonnain
,	PONfbl	,
Batent	VERcjg	batre
e	CONcoo	et
chacent	VERcjg	chacier
e	CONcoo	et
ocient	VERcjg	occire
;	PONfbl	;
La	DETdef	le
lei	NOMcom	loi
Damnedeu	NOMpro	Damedieu
cuntralient	VERcjg	contrarier
.	PONfrt	.

Mult	ADVgen	moult
veïssiez	VERcjg	voir
terre	NOMcom	terre
eissillier	VERinf	exiler
,	PONfbl	,
Femmes	NOMcom	femme
hunir	VERinf	honnir
,	PONfbl	,
humes	NOMcom	homme
percier	VERinf	percer
,	PONfbl	,
Enfanz	NOMcom	enfant
en	PRE	en
berz	NOMcom	bers
esbüeler	VERinf	ébouler
,	PONfbl	,
Aveirs	NOMcom	avoir
saisir	VERinf	saisir
,	PONfbl	,
preies	NOMcom	proie
mener	VERinf	mener
,	PONfbl	,
Turs	NOMcom	tour
abatre	VERinf	abattre
,	PONfbl	,
viles	NOMcom	ville
ardeir	VERinf	ardre
.	PONfrt	.

Li	DETdef	le
reis	NOMcom	roi
n'	ADVneg	ne
ert	VERcjg	être
mie	ADVneg	mie
del	PRE.DETdef	de
poeir	NOMcom	pouvoir
,	PONfbl	,
Ne	CONcoo	ne
ne	ADVneg	ne
poeit	VERcjg	pouvoir
tant	DETind	tant
gent	NOMcom	gent
aver	VERinf	avoir
,	PONfbl	,
Que	CONsub	que
il	PROper	il
osast	VERcjg	oser
Gurmund	NOMpro	Gormont
veer	VERinf	vëer
;	PONfbl	;
Ne	ADVneg	ne
l'	PROper	il
osot	VERcjg	oser
mie	ADVneg	mie
es	PRE.DETdef	en.le
pleins	NOMcom	plain
